Asset,Method,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
IEI,gray,2810,1896.9061139065725,True,-3773.812227813145,-3714.402830189867,0.997028756056826,0.0002
IEI,plugin,2810,2031.2966839934788,True,-4042.5933679869577,-3983.1839703636797,0.9999937653680245,0.0002
IEI,quadrature,2810,1892.7067360880521,True,-3765.4134721761043,-3706.0040745528263,0.8564409626112246,0.0002
IEI,particle,2810,-1455.0110906524499,True,2930.0221813048997,2989.4315789281777,0.8000000737477267,0.8000007367405275
TLT,gray,2810,-1173.6296324265622,True,2367.2592648531245,2426.6686624764025,0.7170069401088438,0.0002
TLT,plugin,2810,-934.9349725327437,True,1889.8699450654874,1949.2793426887654,0.9999331117001986,0.0002
TLT,quadrature,2810,-1200.1852658434534,True,2420.370531686907,2479.779929310185,0.0002,0.9933473007894633
TLT,particle,2810,-3249.519073953869,True,6519.038147907738,6578.447545531016,0.7999999935897855,0.7999999928116449
BNDX,gray,2810,1854.4097976784446,True,-3688.8195953568893,-3629.4101977336113,0.9994231907227236,0.0002
BNDX,plugin,2810,1992.5975556490598,True,-3965.1951112981196,-3905.7857136748416,0.00212335953664458,0.9999884856597059
BNDX,quadrature,2810,1864.147838998716,True,-3708.295677997432,-3648.886280374154,0.8713927845988052,0.0002
BNDX,particle,2810,-1463.2375476601958,False,2946.4750953203916,3005.8844929436696,0.7999999999999999,0.8
LQD,gray,2810,310.68641161406265,True,-601.3728232281253,-541.9634256048474,0.0002,0.9999115286859244
LQD,plugin,2810,482.7145282246676,False,-945.4290564493352,-886.0196588260574,0.0002,0.9999976651622455
LQD,quadrature,2810,293.7371560765092,True,-567.4743121530184,-508.0649145297405,0.9999984950100362,0.0002
LQD,particle,2810,-1996.7546882484528,False,4013.5093764969056,4072.9187741201836,0.7999999999999999,0.8
HYG,gray,2810,597.6729760487755,False,-1175.345952097551,-1115.936554474273,0.9999900160970817,0.0002
HYG,plugin,2810,697.3842201688376,True,-1374.7684403376752,-1315.3590427143972,0.21658666199460785,0.9999889051357963
HYG,quadrature,2810,579.3619188001018,True,-1138.7238376002035,-1079.3144399769255,0.0002,0.9999907543421178
HYG,particle,2810,-1889.5289333162093,True,3799.0578666324186,3858.4672642556966,0.8000000467035674,0.8000000415302833
^TNX,gray,2810,-5744.472110924039,False,11508.944221848078,11568.353619471356,0.9996910556937026,0.8458309606088198
^TNX,plugin,2810,-5752.838433836189,False,11525.676867672379,11585.086265295657,0.9965987265564564,0.9664426481481112
^TNX,quadrature,2810,-5708.41105742354,True,11436.82211484708,11496.231512470358,0.7963660214444174,0.9998763557515632
^TNX,particle,2810,-5821.834490690709,True,11663.668981381417,11723.078379004695,0.8999999575443686,0.8600000013857243
