Asset,Method,Pivot,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
^FTSE,gray,^GSPC,2810,-985.9578378417552,True,1995.9156756835105,2067.206952831444,0.9999977993921411,0.0002
^FTSE,plugin,^GSPC,2810,-726.3613965829985,True,1476.722793165997,1548.0140703139305,0.0002,0.9996952094299074
^FTSE,quadrature,^GSPC,2810,-1012.8024784707857,True,2049.6049569415713,2120.896234089505,0.9999866444649792,0.0002
^FTSE,particle,^GSPC,2810,-3006.8814752227486,False,6037.762950445497,6109.05422759343,0.7999999999999999,0.8
^N225,gray,^GSPC,2810,-3164.01453260175,False,6352.0290652035,6423.320342351433,0.9974600072239115,0.12463826937284825
^N225,plugin,^GSPC,2810,-958.2592424926272,True,1940.5184849852544,2011.8097621331879,0.9477925728615584,0.0002
^N225,quadrature,^GSPC,2810,-1282.2165341970626,True,2588.4330683941253,2659.724345542059,0.9997918525496841,0.0002
^N225,particle,^GSPC,2810,-3844.162966660588,True,7712.325933321176,7783.6172104691095,0.8000000233589541,0.7999998133617224
^IXIC,gray,^GSPC,2810,-4155.591401071005,False,8335.18280214201,8406.474079289943,0.9999334682821637,0.7916384303022596
^IXIC,plugin,^GSPC,2810,-1647.6046085313947,True,3319.2092170627893,3390.500494210723,0.0005414896739368482,0.9999967479354914
^IXIC,quadrature,^GSPC,2810,-4192.552423052777,True,8409.104846105554,8480.396123253488,0.9999847598089492,0.46519344342706126
^IXIC,particle,^GSPC,2810,-4279.139782099565,True,8582.27956419913,8653.570841347064,0.9000000008373378,0.8600000000727436
EEM,gray,^GSPC,2810,-1777.709675574644,True,3579.419351149288,3650.710628297222,0.9958196127981208,0.0002
EEM,plugin,^GSPC,2810,-1448.6981792121217,True,2921.3963584242433,2992.687635572177,0.0002,0.9991265674004849
EEM,quadrature,^GSPC,2810,-2441.7142706093323,True,4907.428541218665,4978.719818366598,0.9981154749847915,0.10902701932054489
EEM,particle,^GSPC,2810,-4011.8643170581745,True,8047.728634116349,8119.019911264282,0.8000000415363607,0.8000000415363607
VTV,gray,^GSPC,2810,-2103.4709588875357,True,4230.9419177750715,4302.233194923005,0.9982346485011573,0.007134200338507416
VTV,plugin,^GSPC,2810,-829.8322209525456,True,1683.6644419050913,1754.9557190530247,0.0006163517070450753,0.9994770685540271
VTV,quadrature,^GSPC,2810,-1164.796598668277,True,2353.593197336554,2424.884474484488,0.9999993475972679,0.0002
VTV,particle,^GSPC,2810,-3197.3810910126676,True,6418.762182025335,6490.0534591732685,0.8000006509176434,0.8000006246088089
